,NAME,STATE,STATEFP,COUNTYFP,NAMELSAD,POINT,SITE
1990,Cloud,Kansas,20,029,Cloud County,POINT (-97.56848100000001 39.33947),44458
1991,Cloud,Kansas,20,029,Cloud County,POINT (-97.54452499999999 39.339828),44459
1992,Cloud,Kansas,20,029,Cloud County,POINT (-97.520599 39.340183),44460
1993,Inyo,California,06,027,Inyo County,POINT (-115.800446 35.798927),36455
1994,Inyo,California,06,027,Inyo County,POINT (-115.712585 35.816868),36456
1995,Inyo,California,06,027,Inyo County,POINT (-117.06369 35.79739),38038
1996,Coosa,Alabama,01,037,Coosa County,POINT (-86.35327100000001 32.979233),12332
1997,Dickinson,Iowa,19,059,Dickinson County,POINT (-95.32260100000001 43.268116),83750
1998,Dickinson,Iowa,19,059,Dickinson County,POINT (-95.29705800000001 43.267952),83751
1999,Dickinson,Iowa,19,059,Dickinson County,POINT (-95.322388 43.286724),83996
2000,Harlan,Kentucky,21,095,Harlan County,POINT (-83.43514999999999 36.750687),34436
2001,Harlan,Kentucky,21,095,Harlan County,POINT (-83.41244500000001 36.747807),34437
2002,Harlan,Kentucky,21,095,Harlan County,POINT (-83.38974 36.744923),34438
2003,Geary,Kansas,20,061,Geary County,POINT (-96.512146 39.016827),42813
2004,Berks,Pennsylvania,42,011,Berks County,POINT (-76.26211499999999 40.516144),73672
2005,Carter,Tennessee,47,019,Carter County,POINT (-82.058167 36.229923),31929
2006,Lyon,Minnesota,27,083,Lyon County,POINT (-95.98699999999999 44.201111),95845
2007,Lyon,Minnesota,27,083,Lyon County,POINT (-95.961029 44.201103),95846
2008,Lyon,Minnesota,27,083,Lyon County,POINT (-95.98699999999999 44.219742),96111
2009,Charlotte,Virginia,51,037,Charlotte County,POINT (-78.491516 37.030834),40553
2010,Washington,Tennessee,47,179,Washington County,POINT (-82.631775 36.141735),30698
2011,Newberry,South Carolina,45,071,Newberry County,POINT (-81.901886 34.214993),18624
2012,Isle of Wight,Virginia,51,093,Isle of Wight County,POINT (-76.548462 36.950039),42034
2013,Wheeler,Oregon,41,069,Wheeler County,POINT (-120.340561 44.956074),117608
2014,Wheeler,Oregon,41,069,Wheeler County,POINT (-120.315445 44.961636),117609
2015,Wheeler,Oregon,41,069,Wheeler County,POINT (-120.373566 44.968258),117675
2016,Butler,Missouri,29,023,Butler County,POINT (-90.25994900000001 36.508205),27515
2017,Iberville,Louisiana,22,047,Iberville Parish,POINT (-91.450378 30.128613),6659
2018,Sharkey,Mississippi,28,125,Sharkey County,POINT (-90.91330000000001 32.911842),11474
2019,Sharkey,Mississippi,28,125,Sharkey County,POINT (-90.89166299999999 32.910686),11475
2020,Sharkey,Mississippi,28,125,Sharkey County,POINT (-90.87005600000001 32.909527),11476
2021,Fauquier,Virginia,51,061,Fauquier County,POINT (-78.01934799999999 38.93465),51505
2022,Fauquier,Virginia,51,061,Fauquier County,POINT (-78.014038 38.952686),51688
2023,Fauquier,Virginia,51,061,Fauquier County,POINT (-78.008728 38.970726),51879
2024,Douglas,Nevada,32,005,Douglas County,POINT (-119.40329 39.084595),64999
2025,Douglas,Nevada,32,005,Douglas County,POINT (-119.552704 38.701576),61130
2026,Douglas,Nevada,32,005,Douglas County,POINT (-119.543762 38.742348),61571
2027,Franklin,,12,037,Franklin County,POINT (-85.14917 29.637463),6755
2028,Franklin,,12,037,Franklin County,POINT (-85.187347 29.660103),6803
2029,Franklin,,12,037,Franklin County,POINT (-85.181763 29.695702),6917
2030,Greene,Indiana,18,055,Greene County,POINT (-87.18926999999999 39.123699),45156
2031,Rush,Indiana,18,139,Rush County,POINT (-85.59139999999999 39.478203),48139
2032,Rush,Indiana,18,139,Rush County,POINT (-85.56759599999999 39.4758),48140
2033,Rush,Indiana,18,139,Rush County,POINT (-85.472443 39.466133),48141
2034,Washington,Wisconsin,55,131,Washington County,POINT (-88.390106 43.417236),89586
2035,Washington,Wisconsin,55,131,Washington County,POINT (-88.364594 43.415474),89587
2036,Washington,Wisconsin,55,131,Washington County,POINT (-88.33908099999999 43.413689),89588
2037,Laclede,Missouri,29,105,Laclede County,POINT (-92.846161 37.545856),34973
2038,Mercer,Pennsylvania,42,085,Mercer County,POINT (-80.110962 41.478088),76619
2039,Craighead,Arkansas,05,031,Craighead County,POINT (-90.788849 35.929195),23601
2040,Saline,Missouri,29,195,Saline County,POINT (-93.236603 39.277401),44280
2041,Saline,Missouri,29,195,Saline County,POINT (-93.211853 39.295258),44366
2042,White,Illinois,17,193,White County,POINT (-88.031982 38.170132),40207
2043,De Witt,Illinois,17,039,De Witt County,POINT (-88.87005600000001 40.146828),50491
2044,De Witt,Illinois,17,039,De Witt County,POINT (-88.821716 40.14352),50492
2045,De Witt,Illinois,17,039,De Witt County,POINT (-88.84371899999999 40.163643),50621
2046,White Pine,Nevada,32,033,White Pine County,POINT (-114.429764 39.291027),55727
2047,White Pine,Nevada,32,033,White Pine County,POINT (-114.406464 39.295254),55728
2048,White Pine,Nevada,32,033,White Pine County,POINT (-114.383179 39.299469),55729
2049,Goodhue,Minnesota,27,049,Goodhue County,POINT (-92.91922 44.233147),96918
2050,Goodhue,Minnesota,27,049,Goodhue County,POINT (-92.89324999999999 44.232426),96919
2051,Goodhue,Minnesota,27,049,Goodhue County,POINT (-92.867279 44.231697),96920
2052,Swain,North Carolina,37,173,Swain County,POINT (-83.528046 35.329887),24023
2053,Pasco,,12,101,Pasco County,POINT (-82.79089399999999 28.202282),4035
2054,Pasco,,12,101,Pasco County,POINT (-82.734283 28.284409),4201
2055,Pasco,Florida,12,101,Pasco County,POINT (-82.667419 28.41938),4593
2056,Sumter,Florida,12,119,Sumter County,POINT (-82.232635 28.9529),5940
2057,Nassau,,36,059,Nassau County,POINT (-73.50238 40.526295),79754
2058,Nassau,,36,059,Nassau County,POINT (-73.4487 40.533821),79917
2059,Nassau,,36,059,Nassau County,POINT (-73.774292 40.817131),82165
2060,Steele,North Dakota,38,091,Steele County,POINT (-97.936584 47.314548),116896
2061,Steele,North Dakota,38,091,Steele County,POINT (-97.909119 47.314999),116897
2062,Steele,North Dakota,38,091,Steele County,POINT (-97.96472199999999 47.332714),116972
2063,Vanderburgh,Indiana,18,163,Vanderburgh County,POINT (-87.520325 38.110085),40139
2064,Vanderburgh,Indiana,18,163,Vanderburgh County,POINT (-87.564575 38.132347),40208
2065,Vanderburgh,Indiana,18,163,Vanderburgh County,POINT (-87.54119900000001 38.130402),40209
2066,Franklin,Missouri,29,071,Franklin County,POINT (-90.790527 38.45993),40721
2067,Franklin,Missouri,29,071,Franklin County,POINT (-90.812561 38.479584),40804
2068,Franklin,Missouri,29,071,Franklin County,POINT (-90.789001 38.478374),40805
2069,Avery,North Carolina,37,011,Avery County,POINT (-81.877747 35.99876),30360
