site_id,lat,lon,capacity,capacity_factor
46987,39.839607,-97.581238,16.0,0.44299999999999995
46988,39.83997,-97.557098,16.0,0.46
46989,39.840324,-97.532959,16.0,0.47
46990,39.840672,-97.50885,16.0,0.473
47112,39.857388,-97.630005,16.0,0.441
47113,39.857769,-97.605865,16.0,0.444
47114,39.858131,-97.581726,16.0,0.456
47115,39.858498,-97.557587,16.0,0.47
47116,39.858856,-97.533447,16.0,0.473
47117,39.859207,-97.509277,16.0,0.46799999999999997
47118,39.859558,-97.485138,16.0,0.462
47254,39.875546,-97.654633,16.0,0.456
47255,39.875927,-97.630493,16.0,0.452
47256,39.876297,-97.606354,16.0,0.455
47257,39.876663,-97.582214,16.0,0.467
47258,39.877033,-97.558044,16.0,0.47700000000000004
47259,39.877388,-97.533905,16.0,0.47200000000000003
47260,39.877735,-97.509766,16.0,0.461
47261,39.878086,-97.485596,16.0,0.451
47262,39.878422,-97.461456,16.0,0.44299999999999995
47404,39.894077,-97.655151,16.0,0.461
47405,39.894455,-97.630981,16.0,0.46
47406,39.894833,-97.606812,16.0,0.466
47407,39.895199,-97.582672,16.0,0.474
47408,39.895561,-97.558533,16.0,0.478
47409,39.89592,-97.534363,16.0,0.469
47410,39.896271,-97.510193,16.0,0.45899999999999996
47411,39.896626,-97.486053,16.0,0.449
47412,39.896965,-97.461884,16.0,0.441
47544,39.912605,-97.65564,16.0,0.45899999999999996
47545,39.912994,-97.63147,16.0,0.46
47546,39.913357,-97.6073,16.0,0.46799999999999997
47547,39.913734,-97.58316,16.0,0.474
47548,39.914093,-97.55899,16.0,0.475
47549,39.914452,-97.534821,16.0,0.47
47550,39.914803,-97.510651,16.0,0.465
47551,39.915154,-97.486511,16.0,0.45899999999999996
47552,39.915501,-97.462341,16.0,0.452
47689,39.931141,-97.656128,16.0,0.45799999999999996
47690,39.931522,-97.631958,16.0,0.457
47691,39.931889,-97.607788,16.0,0.462
47692,39.932262,-97.583618,16.0,0.465
47693,39.932636,-97.559448,16.0,0.466
47694,39.932983,-97.535278,16.0,0.467
47695,39.933342,-97.511108,16.0,0.47
47696,39.933685,-97.486938,16.0,0.469
47697,39.934021,-97.462769,16.0,0.466
47834,39.949673,-97.656647,16.0,0.46
47835,39.950062,-97.632446,16.0,0.45399999999999996
47836,39.950436,-97.608276,16.0,0.45399999999999996
47837,39.950798,-97.584106,16.0,0.45399999999999996
47838,39.951168,-97.559937,16.0,0.455
47839,39.95153,-97.535767,16.0,0.45799999999999996
47840,39.951874,-97.511566,16.0,0.465
47841,39.952217,-97.487396,16.0,0.47
47842,39.952564,-97.463196,16.0,0.47200000000000003
47976,39.968594,-97.632965,16.0,0.452
47977,39.968964,-97.608765,16.0,0.449
47978,39.969337,-97.584595,16.0,0.44799999999999995
47979,39.969704,-97.560394,16.0,0.446
47980,39.970058,-97.536224,16.0,0.445
47981,39.970406,-97.512024,16.0,0.452
47982,39.970764,-97.487854,16.0,0.462
48101,39.987495,-97.609253,16.0,0.452
48102,39.987873,-97.585083,16.0,0.449
48103,39.988239,-97.560883,16.0,0.444
48104,39.98859,-97.536682,16.0,0.43700000000000006
48105,39.988953,-97.512482,16.0,0.44
40708,38.559254,-98.613403,16.0,0.457
40787,38.57465,-98.732361,16.0,0.45899999999999996
40788,38.575272,-98.70874,16.0,0.47200000000000003
40789,38.575901,-98.685089,16.0,0.483
40790,38.577732,-98.614166,16.0,0.461
40871,38.593132,-98.733185,16.0,0.466
40872,38.593758,-98.709534,16.0,0.48
40873,38.594379,-98.685883,16.0,0.485
40874,38.594994,-98.662231,16.0,0.475
40875,38.595608,-98.638611,16.0,0.47
40876,38.596222,-98.61496,16.0,0.473
40954,38.61161,-98.734009,16.0,0.47200000000000003
40955,38.61224,-98.710327,16.0,0.48100000000000004
40956,38.612869,-98.686676,16.0,0.486
40957,38.613483,-98.663025,16.0,0.48
40958,38.614094,-98.639374,16.0,0.48
40959,38.614697,-98.615723,16.0,0.485
41052,38.630093,-98.734802,16.0,0.478
41053,38.630726,-98.711121,16.0,0.48
41054,38.631348,-98.687469,16.0,0.485
41055,38.631962,-98.663818,16.0,0.48700000000000004
41056,38.632576,-98.640167,16.0,0.489
41057,38.633183,-98.616486,16.0,0.491
41138,38.648582,-98.735596,16.0,0.48100000000000004
41139,38.649208,-98.711945,16.0,0.48100000000000004
41140,38.649826,-98.688263,16.0,0.484
41141,38.650448,-98.664612,16.0,0.488
41142,38.651058,-98.64093,16.0,0.491
